Comparison,OccNet chamfer-L1,OccNet chamfer-L2,OccNet normal consistency,OccNet f-scores,DeepSDF chamfer,VIoU,Dice
90,0.0036,0.0000,0.9685,0.9946,0.0000,0.9617,0.9805
91,0.0038,0.0000,0.9652,0.9922,0.0001,0.9533,0.9761
92,0.0037,0.0000,0.9698,0.9966,0.0000,0.9580,0.9785
93,0.0042,0.0001,0.9685,0.9957,0.0002,0.9527,0.9758
94,0.0035,0.0000,0.9684,0.9952,0.0000,0.9578,0.9784
95,0.0040,0.0001,0.9679,0.9958,0.0001,0.9570,0.9780
96,0.0035,0.0000,0.9712,0.9985,0.0000,0.9556,0.9773
97,0.0042,0.0000,0.9691,0.9917,0.0001,0.9591,0.9791
98,0.0041,0.0001,0.9708,0.9954,0.0003,0.9543,0.9766
99,0.0044,0.0001,0.9677,0.9972,0.0002,0.9536,0.9763
100,0.0038,0.0000,0.9687,0.9936,0.0001,0.9655,0.9824
101,0.0034,0.0000,0.9693,0.9992,0.0000,0.9521,0.9755
102,0.0042,0.0001,0.9695,0.9918,0.0002,0.9636,0.9815
103,0.0041,0.0001,0.9710,0.9907,0.0002,0.9520,0.9754
104,0.0041,0.0000,0.9718,0.9960,0.0001,0.9564,0.9777
105,0.0041,0.0001,0.9722,0.9944,0.0003,0.9645,0.9819
106,0.0036,0.0000,0.9676,0.9963,0.0000,0.9570,0.9781
107,0.0044,0.0001,0.9675,0.9941,0.0003,0.9595,0.9793
108,0.0042,0.0001,0.9690,0.9936,0.0002,0.9650,0.9822
109,0.0039,0.0000,0.9687,0.9986,0.0000,0.9489,0.9738
