Comparison,OccNet chamfer-L1,OccNet chamfer-L2,OccNet normal consistency,OccNet f-scores,DeepSDF chamfer,VIoU,Dice
81,0.0042,0.0000,0.9694,0.9730,0.0001,0.9402,0.9692
82,0.0041,0.0000,0.9621,0.9695,0.0001,0.9563,0.9777
83,0.0042,0.0000,0.9786,0.9817,0.0000,0.9616,0.9804
84,0.0040,0.0000,0.9631,0.9752,0.0001,0.9442,0.9713
85,0.0043,0.0000,0.9722,0.9690,0.0001,0.9489,0.9738
86,0.0043,0.0000,0.9636,0.9627,0.0001,0.9505,0.9746
87,0.0040,0.0000,0.9757,0.9845,0.0000,0.9611,0.9802
88,0.0041,0.0000,0.9667,0.9594,0.0001,0.9559,0.9774
89,0.0044,0.0000,0.9686,0.9762,0.0001,0.9485,0.9736
90,0.0038,0.0000,0.9699,0.9772,0.0000,0.9573,0.9782
91,0.0047,0.0000,0.9557,0.9454,0.0001,0.9387,0.9684
92,0.0048,0.0000,0.9614,0.9493,0.0001,0.9427,0.9705
93,0.0047,0.0000,0.9654,0.9618,0.0001,0.9417,0.9699
94,0.0040,0.0000,0.9688,0.9719,0.0001,0.9488,0.9737
95,0.0041,0.0000,0.9633,0.9707,0.0001,0.9528,0.9758
